#用例013：URL匹配不上网站规则库
2015020214,47478327469,cmnet,http://59.151.37.25/,6911,2450,7,9073,842364
2015052222,41801895481,cmnet,http://www.ddppp.com/,7512,4333,9,2003,366949
2015051201,40915816123,cmwap,http://wap.shu7.net/,7923,3996,7,168,656947
2015011311,41504185087,cmwap,http://www.uudh.info/,1885,1609,3,3800,484507
2015040900,41082362221,cmwap,http://www.26ppp.info/,3420,750,8,5614,768777
2015053101,41090859241,cmwap,http://jiudingji8.com/,2897,7734,7,5028,787092
2015011521,41801832769,cmwap,http://www.girlgallery.net/,1269,4691,6,1271,779294
2015052223,47743148203,cmwap,http://fywap.com/,3707,9176,6,4398,445452
2015031114,40915555240,cmwap,http://www.8810.in/,6357,3581,2,1995,575824
2015021409,41300436013,cmwap,http://www.av2003.com/,2361,2148,9,5490,328148
